borough,developmen,tds_num,Latitude,Longitude,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT,under_ten,ten_twenty,twenty_thirty,avg_travel_time,count_score,time_score,time_score_2
MANHATTAN,FIRST HOUSES,1,40.723735,-73.986183,337,126,126,448.0,3.56,178,178,56,0.471,8,0,"$3,653.00",$500.00,6,40,59,19,0.630558659818236,0.598706325682924,0.7022759425249540
BROOKLYN,WILLIAMSBURG,2,40.709859,-73.943431,2,"1,627","1,630","6,528.5",4.01,"3,025","3,025",770,0.483,20,1,"$2,266.00",$512.00,11,20,33,19,0.977249868051821,0.598706325682924,0.42492759219816200
MANHATTAN,HARLEM RIVER,3,40.826112,-73.93625,3,574,577,"2,231.0",3.89,"1,079","1,079",181,0.323,7,0,"$2,103.00",$548.00,3,15,50,22,0.252492537546923,0.308537538725987,0.2461148138246910
BROOKLYN,RED HOOK EAST,4,40.675234,-74.004274,4,"1,404","1,411","5,888.0",4.19,"2,832","2,832",540,0.396,16,3,,$525.00,4,6,8,17,0.369441340181764,0.773372647623132,0.10764425820546800
QUEENS,QUEENSBRIDGE SOUTH,5,40.75513,-73.946657,5,"1,603","1,604","6,625.5",4.13,"3,284","3,284",610,0.387,13,2,"$1,057.00",$521.00,0,2,6,22,0.0477903522728147,0.308537538725987,0.034799621144521200
MANHATTAN,VLADECK,6,40.712519,-73.982251,6,"1,527","1,531","6,248.5",4.09,"2,894","2,894",711,0.471,20,0,"$1,276.00",$514.00,2,15,51,23,0.158655253931457,0.226627352376868,0.28420909222236200
MANHATTAN,VLADECK II,7,40.712936,-73.980259,6,240,240,"1,080.0",4.5,545,545,93,0.392,4,0,"$1,175.00",$545.00,3,10,45,23,0.252492537546923,0.226627352376868,0.22794358693767600
QUEENS,SOUTH JAMAICA I,8,40.695853,-73.794733,8,448,448,"1,797.0",4.01,841,841,144,0.339,11,1,"$1,182.00",$515.00,2,5,16,21,0.158655253931457,0.401293674317076,0.11966950955977200
MANHATTAN,EAST RIVER,9,40.787529,-73.940057,9,"1,156","1,170","4,846.0",4.19,"2,284","2,284",470,0.417,10,1,"$1,086.00",$466.00,4,19,31,20,0.369441340181764,0.5,0.3753986929096920
BROOKLYN,KINGSBOROUGH,10,40.675521,-73.92467,10,"1,154","1,165","4,711.0",4.08,"2,408","2,408",409,0.365,16,0,"$1,107.00",$504.00,2,22,58,22,0.158655253931457,0.308537538725987,0.39954554463554500
BRONX,CLASON POINT GARDENS,11,40.821018,-73.86937,280,401,401,"1,893.5",4.72,861,861,173,0.438,46,0,"$1,116.00",$612.00,3,8,30,22,0.252492537546923,0.308537538725987,0.15058840930830400
BROOKLYN,INGERSOLL,14,40.695115,-73.979899,14,"1,830","1,840","8,698.0",4.75,"4,198","4,198",493,0.292,20,1,"$1,681.00",$577.00,3,12,46,21,0.252492537546923,0.401293674317076,0.30853941459460400
MANHATTAN,ELLIOTT,15,40.74929,-74.001854,134,606,608,"2,843.0",4.69,"1,355","1,355",223,0.383,4,0,"$1,808.00",$577.00,5,29,36,20,0.5,0.5,0.38241037156669900
BROOKLYN,BROWNSVILLE,16,40.665717,-73.907869,16,"1,336","1,338","6,279.0",4.7,"3,166","3,166",416,0.316,27,0,"$2,054.00",$520.00,9,21,52,20,0.908788780274132,0.5,0.49177743969235600
MANHATTAN,JOHNSON,17,40.796934,-73.943004,17,"1,296","1,310","6,121.0",4.72,"3,076","3,076",488,0.382,10,0,"$2,337.00",$573.00,9,40,24,17,0.908788780274132,0.773372647623132,0.5880492271510300
